title,episodes,country,premiere_year,final_year,seasons,Original Channel,technique,final_year_filled,run_years,title_clean,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,year_diff,rating_norm,seasons_norm,votes_norm,success_score,is_successful,toy_products,avg_stars,total_reviews,bought_last_month,match_reliable,has_merch,imdb_norm,merch_norm,reviews_norm,franchise_score,is_franchise,netflix_popularity,netflix_vote_avg,netflix_vote_count,netflix_duration,on_netflix,is_franchise_final,theme,yt_has_content,yt_top10_total_views,yt_top10_avg_views,yt_video_count,years_since_premiere,log_votes_per_year,genre_animation,genre_family,genre_comedy,genre_adventure,genre_action,on_streaming,netflix_pop_filled,log_yt_views,title_has_high_animal,title_has_hero_keyword,title_word_count,title_has_character,country_grouped_Australia,country_grouped_Brazil,country_grouped_Canada,country_grouped_Coproduction,country_grouped_France,country_grouped_Germany,country_grouped_Other,country_grouped_South Korea,country_grouped_Spain,country_grouped_United Kingdom,country_grouped_United States,technique_grouped_CGI,technique_grouped_Flash,technique_grouped_Flash/Traditional,technique_grouped_Other,technique_grouped_Stop Motion,technique_grouped_Stop-motion,technique_grouped_Toon Boom Harmony,technique_grouped_Traditional,technique_grouped_Traditional/Flash,era_Golden Age (85-96),era_Modern (97-09),era_Streaming Era (2010+),dash_prob
Space Ghost Coast to Coast,110,United States,1994.0,2004.0,11.0,"Cartoon Network, Adult Swim","Traditional (1994–1996), Flash (1997–2008)",2004.0,10.0,space ghost coast to coast,tt0108937,tvSeries,Space Ghost Coast to Coast,Space Ghost Coast to Coast,0.0,1993.0,2012.0,15.0,"Animation,Comedy,Sci-Fi",7.9,8336.0,1.0,0.8227848101265822,0.3125,0.0120021790699752,0.4414894688181267,1,0.0,,,0.0,,0,0.8227848101265822,0.0,0.0,0.1645569620253164,1,0.0,,,,0,0,,1,9787892,978789,10,30.0,0.30094862394702043,1,0,1,0,0,0,0.0,16.09665677173178,0,0,5,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,0.1433529
Fireman Sam,200,United Kingdom,1987.0,,11.0,"CBBC, Channel 5",Stop-motion,2023.0,36.0,fireman sam,tt0329829,tvSeries,Fireman Sam,Fireman Sam,0.0,1987.0,2025.0,10.0,"Animation,Family",6.0,2619.0,0.0,0.5822784810126581,0.3125,0.0037629310220587,0.3432271251605779,1,2.0,4.3,0.0,50.0,True,1,0.5822784810126581,0.0010298661174047,0.0,0.1170221225671042,0,0.0,,,,0,1,,1,1481859595,148185959,10,37.0,0.21272782693932818,1,1,0,0,0,0,0.0,21.116563619791073,0,0,2,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,0.9613848
Adventure Time,283,United States,2010.0,2018.0,10.0,Cartoon Network,Traditional,2018.0,8.0,adventure time,tt1305826,tvSeries,Adventure Time,Adventure Time,0.0,2010.0,2018.0,23.0,"Action,Adventure,Animation",8.7,132952.0,0.0,0.924050632911392,0.28125,0.191596745230402,0.5159569394721574,1,7.0,4.59,10568.0,1400.0,True,1,0.924050632911392,0.0288362512873326,0.0914566602049293,0.2235342298415437,1,302.054,8.5,2826.0,1 Seasons,1,1,,1,666455570,66645557,10,14.0,0.8426964972350426,1,0,0,1,1,1,302.054,20.31748403519611,0,0,2,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0.9724611
Spirit Riding Free,78,United States,2017.0,2020.0,10.0,Netflix,CGI,2020.0,3.0,spirit riding free,tt6710836,tvSeries,Spirit Riding Free,Spirit Riding Free,0.0,2017.0,2020.0,23.0,"Action,Adventure,Animation",6.5,1358.0,0.0,0.6455696202531644,0.28125,0.0019455981921789,0.3571517476493105,1,5.0,4.52,289.0,100.0,True,1,0.6455696202531644,0.0020597322348094,0.0025010384934921,0.1308720364031511,0,0.0,,,,0,1,,1,676379670,67637967,10,7.0,1.0306434877358777,1,0,0,1,1,0,0.0,20.332265119835686,0,0,3,1,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,0.95914805
Teenage Mutant Ninja Turtles,193,Coproduction,1987.0,1996.0,10.0,"Syndication, CBS",Traditional,1996.0,9.0,teenage mutant ninja turtles,tt0131613,tvSeries,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,0.0,1987.0,1996.0,23.0,"Action,Adventure,Animation",7.9,40665.0,0.0,0.8227848101265822,0.28125,0.0585942116292006,0.442199976957933,1,142.0,4.09,2397.0,36300.0,True,1,0.8227848101265822,0.7476828012358393,0.0207439075048463,0.5809684795812396,1,135.205,8.313,705.0,1 Seasons,1,1,,1,600659743,60065974,10,37.0,0.2868418281478456,1,0,0,1,1,1,135.205,20.21353918242578,0,0,4,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0.98492265
The Fairly OddParents,172,United States,2001.0,2017.0,10.0,"Nickelodeon, Nicktoons",Traditional (Season 1–10) Flash (Season 10),2017.0,16.0,the fairly oddparents,tt0235918,tvSeries,The Fairly OddParents,The Fairly OddParents,0.0,2001.0,2017.0,30.0,"Adventure,Animation,Comedy",7.2,51982.0,0.0,0.7341772151898733,0.28125,0.0749040892150448,0.4108344083797105,1,0.0,,,0.0,,0,0.7341772151898733,0.0,0.0,0.1468354430379746,0,0.0,,,,0,0,,1,202079916,20207991,10,23.0,0.4721161748276366,1,0,1,1,0,0,0.0,19.124173805837945,0,0,3,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,0.2561736
Bob the Builder,117,Ireland,1998.0,2004.0,9.0,RTE,Stop Motion,2004.0,6.0,bob the builder,tt0262151,tvSeries,Bob the Builder,Bob the Builder,0.0,1997.0,2015.0,10.0,"Adventure,Animation,Comedy",5.7,6723.0,1.0,0.5443037974683544,0.25,0.0096775495262828,0.3076409063689125,0,1.0,4.0,0.0,200.0,True,1,0.5443037974683544,0.0041194644696189,0.0,0.1111264649519613,0,51.066,4.8,5.0,1 Seasons,1,1,,1,3254281307,325428130,10,26.0,0.3389784036357118,1,0,1,1,0,1,51.066,21.903237291914486,0,0,3,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.96511394
Rugrats,172,United States,1991.0,2004.0,9.0,Nickelodeon,Traditional,2004.0,13.0,rugrats,tt0101188,tvSeries,Rugrats,Rugrats,0.0,1991.0,2003.0,30.0,"Adventure,Animation,Comedy",7.4,41159.0,0.0,0.7594936708860759,0.25,0.0593061564491535,0.4061240074667187,1,0.0,,,0.0,,0,0.7594936708860759,0.0,0.0,0.1518987341772152,0,97.596,7.016,128.0,1 Seasons,1,0,,1,171977236,17197723,10,33.0,0.3219764299984238,1,0,1,1,0,1,97.596,18.96287268299636,0,0,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,0.040600557
Allsorts,212,United Kingdom,1987.0,1990.0,9.0,"ITV, BBC One",Live Action,1990.0,3.0,allsorts,tt14152738,tvSeries,Allsorts,Allsorts,0.0,1987.0,1995.0,23.0,Family,5.8,8.0,0.0,0.5569620253164557,0.25,0.0,0.3102848101265822,0,0.0,,,0.0,,0,0.5569620253164557,0.0,0.0,0.1113924050632911,0,0.0,,,,0,0,,1,8476738,847673,10,37.0,0.05938444803611404,0,1,0,0,0,0,0.0,15.952836381922255,0,0,1,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.03754333
My Little Pony: Friendship Is Magic,222,Coproduction,2010.0,2019.0,9.0,"Discovery Family, Discovery Kids, Cartoonito",Flash,2019.0,9.0,my little pony: friendship is magic,tt1751105,tvSeries,My Little Pony: Friendship Is Magic,My Little Pony: Friendship Is Magic,0.0,2010.0,2019.0,22.0,"Adventure,Animation,Comedy",7.8,25933.0,0.0,0.8101265822784809,0.25,0.0373626912090667,0.420891305713659,1,18.0,4.66,0.0,3150.0,True,1,0.8101265822784809,0.0648815653964984,0.0,0.1977101774237703,1,227.511,8.1,657.0,1 Seasons,1,1,horse,1,1368796436,136879643,10,14.0,0.7259507234363449,1,0,1,1,0,1,227.511,21.037197677528933,0,0,6,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.9793114
Regular Show,261,United States,2010.0,2017.0,8.0,Cartoon Network,Traditional,2017.0,7.0,regular show,tt1710308,tvSeries,Regular Show,Regular Show,0.0,2010.0,2017.0,23.0,"Action,Adventure,Animation",8.6,73980.0,0.0,0.911392405063291,0.21875,0.1066072514606398,0.4677712748904763,1,0.0,,,0.0,,0,0.911392405063291,0.0,0.0,0.1822784810126582,1,426.107,8.621,2045.0,1 Seasons,1,0,,1,263040145,26304014,10,14.0,0.8008259701758493,1,0,0,1,1,1,426.107,19.387817224880596,0,0,2,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0.3707611
Kevin Spencer,112,Canada,1999.0,2005.0,8.0,The Comedy Network,Traditional,2005.0,6.0,kevin spencer,tt0250876,tvSeries,Kevin Spencer,Kevin Spencer,0.0,1998.0,2005.0,30.0,"Animation,Comedy",6.8,649.0,1.0,0.6835443037974682,0.21875,0.0009237988453235,0.3502111712303181,1,0.0,,,0.0,,0,0.6835443037974682,0.0,0.0,0.1367088607594936,0,0.0,,,,0,0,,1,1773655,177365,10,25.0,0.2590788945155873,1,0,1,0,0,0,0.0,14.388553510985153,0,0,2,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.028735252
Dinotrux,78,Coproduction,2015.0,2018.0,8.0,"Netflix ,Discovery Kids (Latin American)",CGI,2018.0,3.0,dinotrux,tt1396212,tvSeries,Dinotrux,Dinotrux,0.0,2015.0,2017.0,23.0,"Action,Adventure,Animation",6.7,695.0,0.0,0.670886075949367,0.21875,0.0009900933022421,0.3451644537053073,1,0.0,,,0.0,,0,0.670886075949367,0.0,0.0,0.1341772151898734,0,75.457,6.1,14.0,1 Seasons,1,0,,1,477722313,47772231,10,9.0,0.7272610733704911,1,0,0,1,1,1,75.457,19.984540188594348,0,0,1,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.013107169
Trolls: The Beat Goes On!,52,Germany,2018.0,2019.0,8.0,"ZDF, Netflix",Traditional,2019.0,1.0,trolls: the beat goes on!,tt7539608,tvSeries,Trolls: The Beat Goes On!,Trolls: The Beat Goes On!,0.0,2018.0,2019.0,25.0,"Adventure,Animation,Comedy",5.9,1160.0,0.0,0.569620253164557,0.21875,0.0016602437906593,0.3048256622134876,0,0.0,,,0.0,,0,0.569620253164557,0.0,0.0,0.1139240506329114,0,78.09,7.8,49.0,1 Seasons,1,0,,1,1725450248,172545024,10,6.0,1.176172830282982,1,0,1,1,0,1,78.09,21.268753867284573,0,0,5,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0.1285373
Madagascar: A Little Wild,50,United States,2020.0,2022.0,8.0,"Hulu, Peacock",CGI,2022.0,2.0,madagascar: a little wild,tt11714912,tvSeries,Madagascar: A Little Wild,Madagascar: A Little Wild,0.0,2020.0,2022.0,23.0,"Adventure,Animation,Comedy",5.9,334.0,0.0,0.569620253164557,0.21875,0.000469825933815,0.3045280577492766,0,0.0,,,0.0,,0,0.569620253164557,0.0,0.0,0.1139240506329114,0,43.582,7.0,257.0,1 Seasons,1,0,,1,83294134,8329413,10,4.0,1.4535326329562666,1,0,1,1,0,1,43.582,18.237888696495034,0,0,4,1,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,0.4202727
